number_of_cells,number_of_timestep,nodes_number,gathers,wave_front_tracking,hilbert_filter,isotropic_kernel,exec_time
8032150000000.0,9440,1,0,1,1,0,2163.0019008698096
8381790000000.0,9440,1,0,1,1,0,2211.8951672546136
7488910000000.0,9440,1,0,1,1,0,2087.0358271057066
9790000000000.0,9440,1,0,1,1,0,2408.8176779963615
7294900000000.0,9440,1,0,1,1,0,2059.9056857851606
10594500000000.0,9440,1,0,1,1,0,2521.3180578344086
7511460000000.0,9440,1,0,1,1,0,2090.1891938743183
11063200000000.0,9440,1,0,1,1,0,2586.8605414019567
10515500000000.0,9440,1,0,1,1,0,2510.2707862281864
6337450000000.0,9440,1,0,1,1,0,1926.0169490841809
9172700000000.0,9440,1,0,1,1,0,2322.495136698628
10272300000000.0,9440,1,0,1,1,0,2476.261970346753
9584260000000.0,9440,1,0,1,1,0,2380.0472266006127
10711200000000.0,9440,1,0,1,1,0,2537.6372552577773
11563200000000.0,9440,1,0,1,1,0,2656.779981947667
5764420000000.0,9440,1,0,1,1,0,1845.8850750523648
10709500000000.0,9440,1,0,1,1,0,2537.3995291599217
7217300000000.0,9440,1,0,1,1,0,2049.0541886124665
7918810000000.0,9440,1,0,1,1,0,2147.152562086908
8458980000000.0,9440,1,0,1,1,0,2222.6893304860605
9113280000000.0,9440,1,0,1,1,0,2314.185910384176
7799340000000.0,9440,1,0,1,1,0,2130.4460109629163
10812400000000.0,9440,1,0,1,1,0,2551.788950024229
10166300000000.0,9440,1,0,1,1,0,2461.4390489510624
10378400000000.0,9440,1,0,1,1,0,2491.098875630553
11252800000000.0,9440,1,0,1,1,0,2613.37399325689
8029970000000.0,9440,1,0,1,1,0,2162.69705210903
8709730000000.0,9440,1,0,1,1,0,2257.7539299197338
9934680000000.0,9440,1,0,1,1,0,2429.049567312668
6370370000000.0,9440,1,0,1,1,0,1930.6204450497103
7682930000000.0,9440,1,0,1,1,0,2114.1673668150643
10360300000000.0,9440,1,0,1,1,0,2488.567791882798
8652990000000.0,9440,1,0,1,1,0,2249.8194718066065
8403130000000.0,9440,1,0,1,1,0,2214.8793289771047
11005300000000.0,9440,1,0,1,1,0,2578.7638701867636
4965980000000.0,9440,1,0,1,1,0,1734.2321188337316
9057940000000.0,9440,1,0,1,1,0,2306.4472267045767
6197520000000.0,9440,1,0,1,1,0,1906.4492944530584
6984480000000.0,9440,1,0,1,1,0,2016.496900316762
8362500000000.0,9440,1,0,1,1,0,2209.19767523836
8536590000000.0,9440,1,0,1,1,0,2233.5422260475652
11053500000000.0,9440,1,0,1,1,0,2585.5041042553703
10802800000000.0,9440,1,0,1,1,0,2550.4464967657514
6751660000000.0,9440,1,0,1,1,0,1983.9396120210577
9739470000000.0,9440,1,0,1,1,0,2401.751619334812
7101990000000.0,9440,1,0,1,1,0,2032.929367233815
11640800000000.0,9440,1,0,1,1,0,2667.631479120361
8342570000000.0,9440,1,0,1,1,0,2206.410686338208
11408000000000.0,9440,1,0,1,1,0,2635.076987602278
8217820000000.0,9440,1,0,1,1,0,2188.9657859220533
11352500000000.0,9440,1,0,1,1,0,2627.3159297017046
9165460000000.0,9440,1,0,1,1,0,2321.4827031995264
7947750000000.0,9440,1,0,1,1,0,2151.1994993056937
9973260000000.0,9440,1,0,1,1,0,2434.444551345175
8381380000000.0,9440,1,0,1,1,0,2211.837833313366
6834200000000.0,9440,1,0,1,1,0,1995.4819132663436
11651600000000.0,9440,1,0,1,1,0,2669.1417390361485
11487600000000.0,9440,1,0,1,1,0,2646.2081625371557
8557200000000.0,9440,1,0,1,1,0,2236.4243053868595
11188600000000.0,9440,1,0,1,1,0,2604.396337090821
8579090000000.0,9440,1,0,1,1,0,2239.4853784939505
10737200000000.0,9440,1,0,1,1,0,2541.2730661661544
11593700000000.0,9440,1,0,1,1,0,2661.045067820955
8063490000000.0,9440,1,0,1,1,0,2167.3844514032144
11030800000000.0,9440,1,0,1,1,0,2582.329761654595
11207900000000.0,9440,1,0,1,1,0,2607.0952274958854
6574630000000.0,9440,1,0,1,1,0,1959.1839349014438
8542590000000.0,9440,1,0,1,1,0,2234.3812593341136
10656500000000.0,9440,1,0,1,1,0,2529.9880684620766
10670700000000.0,9440,1,0,1,1,0,2531.973780573575
11150000000000.0,9440,1,0,1,1,0,2598.9985562806924
9809290000000.0,9440,1,0,1,1,0,2411.5151700126153
7876940000000.0,9440,1,0,1,1,0,2141.2975081356103
8796540000000.0,9440,1,0,1,1,0,2269.8933431872797
10787100000000.0,9440,1,0,1,1,0,2548.2510263326158
10879900000000.0,9440,1,0,1,1,0,2561.2280744979
8401080000000.0,9440,1,0,1,1,0,2214.592659270867
7335320000000.0,9440,1,0,1,1,0,2065.5579733588756
9855880000000.0,9440,1,0,1,1,0,2418.030263482664
9925040000000.0,9440,1,0,1,1,0,2427.7015204989466
7354290000000.0,9440,1,0,1,1,0,2068.2107169331803
7677680000000.0,9440,1,0,1,1,0,2113.433212689334
11516500000000.0,9440,1,0,1,1,0,2650.2495062006974
8264970000000.0,9440,1,0,1,1,0,2195.559189165514
9041020000000.0,9440,1,0,1,1,0,2304.0811528365102
6268830000000.0,9440,1,0,1,1,0,1916.4212050636877
10687000000000.0,9440,1,0,1,1,0,2534.253154335365
6999280000000.0,9440,1,0,1,1,0,2018.5665157569151
8885810000000.0,9440,1,0,1,1,0,2282.376760102311
9174630000000.0,9440,1,0,1,1,0,2322.7650257391347
9196230000000.0,9440,1,0,1,1,0,2325.7855455707095
8592050000000.0,9440,1,0,1,1,0,2241.2976903928957
9982910000000.0,9440,1,0,1,1,0,2435.793996547707
5685240000000.0,9440,1,0,1,1,0,1834.812632447546
8651860000000.0,9440,1,0,1,1,0,2249.661453870973
11485600000000.0,9440,1,0,1,1,0,2645.9284847749723
10349400000000.0,9440,1,0,1,1,0,2487.0435480789015
7880230000000.0,9440,1,0,1,1,0,2141.757578054401
10050400000000.0,9440,1,0,1,1,0,2445.231722632567
11632300000000.0,9440,1,0,1,1,0,2666.4428486310835
10031100000000.0,9440,1,0,1,1,0,2442.5328322275027
10849200000000.0,9440,1,0,1,1,0,2556.935020848393
10937800000000.0,9440,1,0,1,1,0,2569.324745713093
8575390000000.0,9440,1,0,1,1,0,2238.9679746339125
5296330000000.0,9440,1,0,1,1,0,1780.4278932022821
7961660000000.0,9440,1,0,1,1,0,2153.1446581416753
6712860000000.0,9440,1,0,1,1,0,1978.5138634347109
8769400000000.0,9440,1,0,1,1,0,2266.098115954459
11699800000000.0,9440,1,0,1,1,0,2675.8819731047543
7553400000000.0,9440,1,0,1,1,0,2096.0540365472925
9312640000000.0,9440,1,0,1,1,0,2342.0641897185615
7938100000000.0,9440,1,0,1,1,0,2149.8500541031617
7735550000000.0,9440,1,0,1,1,0,2121.5256887380947
7036820000000.0,9440,1,0,1,1,0,2023.816067353087
7062080000000.0,9440,1,0,1,1,0,2027.3483974894561
6329450000000.0,9440,1,0,1,1,0,1924.8982380354496
7527720000000.0,9440,1,0,1,1,0,2092.462974080865
8047490000000.0,9440,1,0,1,1,0,2165.147029305752
4917470000000.0,9440,1,0,1,1,0,1727.448534711987
9157430000000.0,9440,1,0,1,1,0,2320.359796984362
5983260000000.0,9440,1,0,1,1,0,1876.487415790411
7401250000000.0,9440,1,0,1,1,0,2074.777550789233
6066880000000.0,9440,1,0,1,1,0,1888.1807430272756
10580900000000.0,9440,1,0,1,1,0,2519.4162490515655
11468300000000.0,9440,1,0,1,1,0,2643.5092721320907
7566520000000.0,9440,1,0,1,1,0,2097.888722667212
8847010000000.0,9440,1,0,1,1,0,2276.9510115159637
10590200000000.0,9440,1,0,1,1,0,2520.7167506457154
7446190000000.0,9440,1,0,1,1,0,2081.0619101054817
10513400000000.0,9440,1,0,1,1,0,2509.9771245778943
7918430000000.0,9440,1,0,1,1,0,2147.0994233120937
9235030000000.0,9440,1,0,1,1,0,2331.2112941570563
9938980000000.0,9440,1,0,1,1,0,2429.650874501361
5575790000000.0,9440,1,0,1,1,0,1819.5072669120902
8883340000000.0,9440,1,0,1,1,0,2282.031358066015
9972280000000.0,9440,1,0,1,1,0,2434.3075092417057
7517790000000.0,9440,1,0,1,1,0,2091.074373991627
11718400000000.0,9440,1,0,1,1,0,2678.482976293055
11217500000000.0,9440,1,0,1,1,0,2608.437680754363
11524400000000.0,9440,1,0,1,1,0,2651.3542333613195
10455500000000.0,9440,1,0,1,1,0,2501.8804533627012
9636530000000.0,9440,1,0,1,1,0,2387.3566049152614
10476700000000.0,9440,1,0,1,1,0,2504.8450376418396
11371800000000.0,9440,1,0,1,1,0,2630.0148201067686
8206590000000.0,9440,1,0,1,1,0,2187.395395287397
9240220000000.0,9440,1,0,1,1,0,2331.937057949921
11679600000000.0,9440,1,0,1,1,0,2673.0572277067076
10918500000000.0,9440,1,0,1,1,0,2566.6258553080283
6502530000000.0,9440,1,0,1,1,0,1949.1015515747524
9056960000000.0,9440,1,0,1,1,0,2306.3101846011073
9114830000000.0,9440,1,0,1,1,0,2314.402660649868
7918020000000.0,9440,1,0,1,1,0,2147.042089370846
8187360000000.0,9440,1,0,1,1,0,2184.706293604009
8148560000000.0,9440,1,0,1,1,0,2179.280545017662
6823960000000.0,9440,1,0,1,1,0,1994.0499631239672
9769260000000.0,9440,1,0,1,1,0,2405.917419602525
11043900000000.0,9440,1,0,1,1,0,2584.1616509968926
11439400000000.0,9440,1,0,1,1,0,2639.467928468549
7256100000000.0,9440,1,0,1,1,0,2054.4799371988133
10648400000000.0,9440,1,0,1,1,0,2528.8553735252362
11796000000000.0,9440,1,0,1,1,0,2689.3344734657494
9230570000000.0,9440,1,0,1,1,0,2330.5876127473884
9118630000000.0,9440,1,0,1,1,0,2314.934048398015
10399100000000.0,9440,1,0,1,1,0,2493.993540469145
10359100000000.0,9440,1,0,1,1,0,2488.3999852254883
10159400000000.0,9440,1,0,1,1,0,2460.4741606715315
10503800000000.0,9440,1,0,1,1,0,2508.634671319417
9429050000000.0,9440,1,0,1,1,0,2358.3428338664135
9375250000000.0,9440,1,0,1,1,0,2350.819502063695
8352850000000.0,9440,1,0,1,1,0,2207.848230035828
8111720000000.0,9440,1,0,1,1,0,2174.1288806382536
10437900000000.0,9440,1,0,1,1,0,2499.4192890554923
11690100000000.0,9440,1,0,1,1,0,2674.525535958168
8536110000000.0,9440,1,0,1,1,0,2233.4751033846414
10942400000000.0,9440,1,0,1,1,0,2569.9680045661134
11497200000000.0,9440,1,0,1,1,0,2647.550615795633
10677400000000.0,9440,1,0,1,1,0,2532.910701076887
11757200000000.0,9440,1,0,1,1,0,2683.908724879402
9857520000000.0,9440,1,0,1,1,0,2418.259599247654
9251160000000.0,9440,1,0,1,1,0,2333.466895309061
8981220000000.0,9440,1,0,1,1,0,2295.7187877472434
9079820000000.0,9440,1,0,1,1,0,2309.506901422857
9365610000000.0,9440,1,0,1,1,0,2349.471455249974
8631840000000.0,9440,1,0,1,1,0,2246.861879471523
10923500000000.0,9440,1,0,1,1,0,2567.3250497134854
7632770000000.0,9440,1,0,1,1,0,2107.1530485395187
8632560000000.0,9440,1,0,1,1,0,2246.9625634659087
8154950000000.0,9440,1,0,1,1,0,2180.1741154678357
9298090000000.0,9440,1,0,1,1,0,2340.0295339986815
8738660000000.0,9440,1,0,1,1,0,2261.7994687497085
8671150000000.0,9440,1,0,1,1,0,2252.3589458872266
10667900000000.0,9440,1,0,1,1,0,2531.5822317065185
6110640000000.0,9440,1,0,1,1,0,1894.3000924638359
8443860000000.0,9440,1,0,1,1,0,2220.5749666039583
8941220000000.0,9440,1,0,1,1,0,2290.1252325035866
7233230000000.0,9440,1,0,1,1,0,2051.281821988253
11526200000000.0,9440,1,0,1,1,0,2651.605943347284
6818140000000.0,9440,1,0,1,1,0,1993.2361008360153
7760530000000.0,9440,1,0,1,1,0,2125.0188639877583
5692640000000.0,9440,1,0,1,1,0,1835.8474401676226
8345990000000.0,9440,1,0,1,1,0,2206.888935311541
5880230000000.0,9440,1,0,1,1,0,1862.079815871562
10146900000000.0,9440,1,0,1,1,0,2458.726174657889
10822100000000.0,9440,1,0,1,1,0,2553.1453871708154
6678990000000.0,9440,1,0,1,1,0,1973.7775205321443
8691800000000.0,9440,1,0,1,1,0,2255.2466187817645
6572540000000.0,9440,1,0,1,1,0,1958.8916716399626
9452420000000.0,9440,1,0,1,1,0,2361.61086851752
8713050000000.0,9440,1,0,1,1,0,2258.218195004957
11584000000000.0,9440,1,0,1,1,0,2659.688630674368
7670530000000.0,9440,1,0,1,1,0,2112.43336468953
5856130000000.0,9440,1,0,1,1,0,1858.7096988372587
11330400000000.0,9440,1,0,1,1,0,2624.225490429584
8603630000000.0,9440,1,0,1,1,0,2242.917024635934
7658390000000.0,9440,1,0,1,1,0,2110.7357206730803
8757950000000.0,9440,1,0,1,1,0,2264.496960765962
10825900000000.0,9440,1,0,1,1,0,2553.676774918963
11458600000000.0,9440,1,0,1,1,0,2642.1528349855043
11236800000000.0,9440,1,0,1,1,0,2611.136571159427
8125410000000.0,9440,1,0,1,1,0,2176.0432749203956
7450110000000.0,9440,1,0,1,1,0,2081.61007851936
7263400000000.0,9440,1,0,1,1,0,2055.5007610307807
9674260000000.0,9440,1,0,1,1,0,2392.6327258988404
9467850000000.0,9440,1,0,1,1,0,2363.7685824527607
8786290000000.0,9440,1,0,1,1,0,2268.459994656093
10693200000000.0,9440,1,0,1,1,0,2535.120155398132
8286880000000.0,9440,1,0,1,1,0,2198.623059050227
6802320000000.0,9440,1,0,1,1,0,1991.0238497371492
7648740000000.0,9440,1,0,1,1,0,2109.3862754705488
9390240000000.0,9440,1,0,1,1,0,2352.9156868912555
8237110000000.0,9440,1,0,1,1,0,2191.663277938307
4952320000000.0,9440,1,0,1,1,0,1732.3219197180229
10561600000000.0,9440,1,0,1,1,0,2516.7173586465005
8286120000000.0,9440,1,0,1,1,0,2198.5167815005975
6975500000000.0,9440,1,0,1,1,0,2015.241147164561
7889870000000.0,9440,1,0,1,1,0,2143.1056248681225
9545460000000.0,9440,1,0,1,1,0,2374.6214780142654
5437690000000.0,9440,1,0,1,1,0,1800.1955174333652
8246750000000.0,9440,1,0,1,1,0,2193.0113247520285
9101740000000.0,9440,1,0,1,1,0,2312.572169696381
11400800000000.0,9440,1,0,1,1,0,2634.07014765842
10773800000000.0,9440,1,0,1,1,0,2546.3911692141
7993350000000.0,9440,1,0,1,1,0,2157.5761522834628
7980980000000.0,9440,1,0,1,1,0,2155.8463453243617
7394800000000.0,9440,1,0,1,1,0,2073.8755900061933
9328580000000.0,9440,1,0,1,1,0,2344.293221483159
10600200000000.0,9440,1,0,1,1,0,2522.1151394566295
10179800000000.0,9440,1,0,1,1,0,2463.326873845797
10754500000000.0,9440,1,0,1,1,0,2543.6922788090355
11034300000000.0,9440,1,0,1,1,0,2582.819197738415
8314270000000.0,9440,1,0,1,1,0,2202.4532460033206
11268500000000.0,9440,1,0,1,1,0,2615.5694636900253
11097600000000.0,9440,1,0,1,1,0,2591.6709989115016
9028020000000.0,9440,1,0,1,1,0,2302.2632473823214
8246850000000.0,9440,1,0,1,1,0,2193.025308640137
9732130000000.0,9440,1,0,1,1,0,2400.725201947601
11256100000000.0,9440,1,0,1,1,0,2613.8354615644917
7122520000000.0,9440,1,0,1,1,0,2035.8002594626216
11564700000000.0,9440,1,0,1,1,0,2656.989740269304
6843750000000.0,9440,1,0,1,1,0,1996.8173745807667
7026920000000.0,9440,1,0,1,1,0,2022.431662430282
11420100000000.0,9440,1,0,1,1,0,2636.7690380634845
9654970000000.0,9440,1,0,1,1,0,2389.935233882587
9700670000000.0,9440,1,0,1,1,0,2396.3258707484647
10472700000000.0,9440,1,0,1,1,0,2504.2856821174737
10108300000000.0,9440,1,0,1,1,0,2453.3283938477603
9944330000000.0,9440,1,0,1,1,0,2430.3990125152004
9482710000000.0,9440,1,0,1,1,0,2365.846588225779
8346370000000.0,9440,1,0,1,1,0,2206.942074086355
10457700000000.0,9440,1,0,1,1,0,2502.1880989011024
9999320000000.0,9440,1,0,1,1,0,2438.0887525864173
7456180000000.0,9440,1,0,1,1,0,2082.458900527585
8565050000000.0,9440,1,0,1,1,0,2237.522040603427
10301200000000.0,9440,1,0,1,1,0,2480.3033140102953
6240940000000.0,9440,1,0,1,1,0,1912.521098670048
8053850000000.0,9440,1,0,1,1,0,2166.0364045894935
8636140000000.0,9440,1,0,1,1,0,2247.463186660216
7023280000000.0,9440,1,0,1,1,0,2021.9226489031091
8497780000000.0,9440,1,0,1,1,0,2228.1150790724073
7495080000000.0,9440,1,0,1,1,0,2087.8986330020407
10484500000000.0,9440,1,0,1,1,0,2505.935780914352
7619810000000.0,9440,1,0,1,1,0,2105.3407366405736
9065020000000.0,9440,1,0,1,1,0,2307.4372859827045
8002550000000.0,9440,1,0,1,1,0,2158.8626699895035
8892990000000.0,9440,1,0,1,1,0,2283.3808032685474
8068870000000.0,9440,1,0,1,1,0,2168.1367845834866
8143820000000.0,9440,1,0,1,1,0,2178.617708721288
8294980000000.0,9440,1,0,1,1,0,2199.7557539870677
11767300000000.0,9440,1,0,1,1,0,2685.3210975784255
11015000000000.0,9440,1,0,1,1,0,2580.1203073333504
11323600000000.0,9440,1,0,1,1,0,2623.274586038163
9703200000000.0,9440,1,0,1,1,0,2396.679663117626
8683190000000.0,9440,1,0,1,1,0,2254.0426060155673
5863090000000.0,9440,1,0,1,1,0,1859.682977449655
6303680000000.0,9440,1,0,1,1,0,1921.2945900697237
10523000000000.0,9440,1,0,1,1,0,2511.319577836372
11275400000000.0,9440,1,0,1,1,0,2616.534351969556
8188880000000.0,9440,1,0,1,1,0,2184.918848703268
7783780000000.0,9440,1,0,1,1,0,2128.270117973134
7400020000000.0,9440,1,0,1,1,0,2074.6055489654905
10060100000000.0,9440,1,0,1,1,0,2446.588159779154
8420180000000.0,9440,1,0,1,1,0,2217.2635818997132
8092430000000.0,9440,1,0,1,1,0,2171.4313886220007
9085890000000.0,9440,1,0,1,1,0,2310.355723431082
6435170000000.0,9440,1,0,1,1,0,1939.6820045444344
8460590000000.0,9440,1,0,1,1,0,2222.9144710846176
6697870000000.0,9440,1,0,1,1,0,1976.4176786071503
10407300000000.0,9440,1,0,1,1,0,2495.140219294095
8729020000000.0,9440,1,0,1,1,0,2260.451421935987
9606740000000.0,9440,1,0,1,1,0,2383.1908046475482
11288600000000.0,9440,1,0,1,1,0,2618.3802251999628
10966700000000.0,9440,1,0,1,1,0,2573.3660893766346
8333560000000.0,9440,1,0,1,1,0,2205.1507380195744
8385420000000.0,9440,1,0,1,1,0,2212.4027823929755
10748300000000.0,9440,1,0,1,1,0,2542.8252777462685
7244270000000.0,9440,1,0,1,1,0,2052.825643235502
9838230000000.0,9440,1,0,1,1,0,2415.5621072314007
7498240000000.0,9440,1,0,1,1,0,2088.34052386629
11058800000000.0,9440,1,0,1,1,0,2586.2452503251543
9968200000000.0,9440,1,0,1,1,0,2433.7369666068525
9201640000000.0,9440,1,0,1,1,0,2326.542073917414
7173590000000.0,9440,1,0,1,1,0,2042.9418311199604
11776900000000.0,9440,1,0,1,1,0,2686.6635508369027
9693550000000.0,9440,1,0,1,1,0,2395.330217915094
9261530000000.0,9440,1,0,1,1,0,2334.917024505979
11641500000000.0,9440,1,0,1,1,0,2667.7293663371247
6901150000000.0,9440,1,0,1,1,0,2004.8441263554141
10253000000000.0,9440,1,0,1,1,0,2473.5630799416886
5921980000000.0,9440,1,0,1,1,0,1867.9180891571286
8407650000000.0,9440,1,0,1,1,0,2215.5114007196375
5438220000000.0,9440,1,0,1,1,0,1800.2696320403438
9876810000000.0,9440,1,0,1,1,0,2420.9570912639074
8015260000000.0,9440,1,0,1,1,0,2160.6400221681756
7986330000000.0,9440,1,0,1,1,0,2156.594483338201
5997180000000.0,9440,1,0,1,1,0,1878.4339730152035
10864700000000.0,9440,1,0,1,1,0,2559.1025235053103
6061060000000.0,9440,1,0,1,1,0,1887.3668807393233
10262600000000.0,9440,1,0,1,1,0,2474.9055332001662
11825200000000.0,9440,1,0,1,1,0,2693.4177687936185
9661610000000.0,9440,1,0,1,1,0,2390.863764053034
5628060000000.0,9440,1,0,1,1,0,1826.8166452267387
7100890000000.0,9440,1,0,1,1,0,2032.775544464614
10900600000000.0,9440,1,0,1,1,0,2564.122739336492
10040800000000.0,9440,1,0,1,1,0,2443.8892693740895
9219540000000.0,9440,1,0,1,1,0,2329.0451898889505
11159600000000.0,9440,1,0,1,1,0,2600.34100953917
8840810000000.0,9440,1,0,1,1,0,2276.084010453197
7523350000000.0,9440,1,0,1,1,0,2091.851878170495
8140650000000.0,9440,1,0,1,1,0,2178.1744194682287
11256500000000.0,9440,1,0,1,1,0,2613.8913971169286
11291600000000.0,9440,1,0,1,1,0,2618.799741843237
7484770000000.0,9440,1,0,1,1,0,2086.4568941379885
7011140000000.0,9440,1,0,1,1,0,2020.2250048866595
11449000000000.0,9440,1,0,1,1,0,2640.8103817270267
7455420000000.0,9440,1,0,1,1,0,2082.3526229779554
9244840000000.0,9440,1,0,1,1,0,2332.583113580563
9273840000000.0,9440,1,0,1,1,0,2336.638441132214
4784710000000.0,9440,1,0,1,1,0,1708.88352485829
9124920000000.0,9440,1,0,1,1,0,2315.81363496008
7893730000000.0,9440,1,0,1,1,0,2143.645402949135
6472800000000.0,9440,1,0,1,1,0,1944.9441416399045
10098700000000.0,9440,1,0,1,1,0,2451.985940589283
5663860000000.0,9440,1,0,1,1,0,1831.8228771698116
8217060000000.0,9440,1,0,1,1,0,2188.859508372424
7260840000000.0,9440,1,0,1,1,0,2055.1427734951867
8096380000000.0,9440,1,0,1,1,0,2171.9837522023117
10590600000000.0,9440,1,0,1,1,0,2520.772686198152
7532810000000.0,9440,1,0,1,1,0,2093.17475398562
9594980000000.0,9440,1,0,1,1,0,2381.5462994059126
5225240000000.0,9440,1,0,1,1,0,1770.4867471454932
10532700000000.0,9440,1,0,1,1,0,2512.676014982959
8501550000000.0,9440,1,0,1,1,0,2228.642271654122
10474800000000.0,9440,1,0,1,1,0,2504.5793437677657
9336670000000.0,9440,1,0,1,1,0,2345.424518031188
7372510000000.0,9440,1,0,1,1,0,2070.758581346666
5485120000000.0,9440,1,0,1,1,0,1806.8280755635312
8777240000000.0,9440,1,0,1,1,0,2267.194452782215
8237550000000.0,9440,1,0,1,1,0,2191.7248070459873
11285000000000.0,9440,1,0,1,1,0,2617.876805228034
